title,time,description,detail_url,image_url
"Famine Victim, Hengyang, China",1946,,https://www.artic.edu/artworks/101573,"https://www.artic.edu/iiif/2/5c059b23-b55e-f7cf-81b2-21e5b5d6d94e/full/843,/0/default.jpg"
China: Chair,"NOV 10, 1982",,https://www.artic.edu/artworks/194369,"https://www.artic.edu/iiif/2/fcf7668b-8298-c60f-dfd6-4a007221e0c3/full/843,/0/default.jpg"
China: Interior,"NOV 10, 1982",,https://www.artic.edu/artworks/194370,"https://www.artic.edu/iiif/2/a7eabb7a-7754-8ece-e51b-052e7bc238a6/full/843,/0/default.jpg"
"Burial of Famine Victim, Hengyang, China",1946,,https://www.artic.edu/artworks/101574,"https://www.artic.edu/iiif/2/0cab8fbd-2f0f-e806-f807-f35ca8cf0880/full/843,/0/default.jpg"
"Jar with Tubular Handles, Peonies, “Endless Knot,” Pendant Balls, and Pendant Lozenges","Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)",,https://www.artic.edu/artworks/135,"https://www.artic.edu/iiif/2/abf4b078-b26b-e69c-d689-8aab2d5fa075/full/843,/0/default.jpg"
Three Figures,n.d.,,https://www.artic.edu/artworks/4911,"https://www.artic.edu/iiif/2/e20026a1-7890-f86b-ca21-744689f2aca5/full/843,/0/default.jpg"
La Mère Gérard,1858,,https://www.artic.edu/artworks/109169,"https://www.artic.edu/iiif/2/35b7a015-a810-d057-a3e0-300daf83bef8/full/843,/0/default.jpg"
"Buddha's Grave Stone at Datong, China",1944,,https://www.artic.edu/artworks/184562,"https://www.artic.edu/iiif/2/c98bf8fd-4e3b-c62b-6463-16567866b0ec/full/843,/0/default.jpg"
Count Robert de Montesquiou,1894,,https://www.artic.edu/artworks/147873,"https://www.artic.edu/iiif/2/6a7573ae-412c-c0dc-74a2-49518f6eb85e/full/843,/0/default.jpg"
Lacquer Tea Bowl 乾隆禦制雕漆盞,"Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)",,https://www.artic.edu/artworks/134,"https://www.artic.edu/iiif/2/a6b21bf6-aa51-1b2f-6e2e-be09e3e126ba/full/843,/0/default.jpg"
Dancers,n.d.,,https://www.artic.edu/artworks/4914,"https://www.artic.edu/iiif/2/236758cd-9b2e-f3cf-d8f0-c7b6102ed51a/full/843,/0/default.jpg"
La Marchande de Moutarde (The Mustard Seller),1858,,https://www.artic.edu/artworks/111962,"https://www.artic.edu/iiif/2/c2549db2-4560-3468-fffb-d924fb37b84b/full/843,/0/default.jpg"
Great Walls: The Great Wall of China,1920,,https://www.artic.edu/artworks/80494,"https://www.artic.edu/iiif/2/efe1e754-dd9e-cbdb-c517-eec0c1c43c68/full/843,/0/default.jpg"
Faceted Round Jar,2008,,https://www.artic.edu/artworks/209976,"https://www.artic.edu/iiif/2/876de72c-8046-95d1-52ae-eab2ea8af401/full/843,/0/default.jpg"
Plate,c. 1820,,https://www.artic.edu/artworks/15030,"https://www.artic.edu/iiif/2/655eb9b0-75bd-32ed-c6bd-5d31d30caed2/full/843,/0/default.jpg"
Platter,c. 1760–c. 1800,,https://www.artic.edu/artworks/7934,"https://www.artic.edu/iiif/2/9794ffdb-e20e-9275-20fc-4204f0e06405/full/843,/0/default.jpg"
"Beginning of the Great Wall in Shanaiguan, China",1943,,https://www.artic.edu/artworks/191156,"https://www.artic.edu/iiif/2/2a20b34d-c51a-38c3-ba80-336b56f5c7b8/full/843,/0/default.jpg"
Fruit Basket,c. 1770–72,,https://www.artic.edu/artworks/266210,"https://www.artic.edu/iiif/2/d12e997a-148b-cbbb-aa35-13c6152b8cc6/full/843,/0/default.jpg"
En Plein Soleil,1858,,https://www.artic.edu/artworks/19970,"https://www.artic.edu/iiif/2/cdb10c6e-9584-0d6b-9fa2-529913240611/full/843,/0/default.jpg"
"Draped Model, Dancing",probably 1891,,https://www.artic.edu/artworks/139470,"https://www.artic.edu/iiif/2/fa2162cd-40ac-182c-fca4-408f9e7524fd/full/843,/0/default.jpg"
"Qufu Village, Shandong Province, China",1955,,https://www.artic.edu/artworks/53832,"https://www.artic.edu/iiif/2/5714d819-7040-5f28-10bf-a4142736771d/full/843,/0/default.jpg"
Hmongs' Life from China to This Country,1992,,https://www.artic.edu/artworks/148877,"https://www.artic.edu/iiif/2/48afc492-0eca-9e31-637b-aa580bc53950/full/843,/0/default.jpg"
Melon-Shaped Water Pot,"Qing dynasty (1644–1911), 18th century",,https://www.artic.edu/artworks/18438,"https://www.artic.edu/iiif/2/b8dce7d8-2de9-f915-652e-ba1899dbd081/full/843,/0/default.jpg"
"Boy with Chicken, Hungjao, China",1945,,https://www.artic.edu/artworks/101571,"https://www.artic.edu/iiif/2/fa920522-2418-fe6d-d335-2a638d3f35ba/full/843,/0/default.jpg"
The Kitchen,1858,,https://www.artic.edu/artworks/29530,"https://www.artic.edu/iiif/2/5a5be2e2-5930-b2fd-3848-69ad22e331b6/full/843,/0/default.jpg"
Buddha,"Tang dynasty (A.D. 618–907), c. 725/50",,https://www.artic.edu/artworks/86380,"https://www.artic.edu/iiif/2/598c063a-8071-e4d5-675e-111961495738/full/843,/0/default.jpg"
